customerID,gender,SeniorCitizen,Partner,StreamingTV,PhoneService,InternetService,PaperlessBilling,Churn
7639-LIAYI,Male,No,No,Yes,Yes,DSL,Yes,0
2954-PIBKO,Female,No,Yes,No,Yes,DSL,Yes,0
8012-SOUDQ,Female,Yes,No,Yes,Yes,Fiber optic,Yes,0
9420-LOJKX,Female,No,No,Yes,Yes,Fiber optic,Yes,1
6575-SUVOI,Female,Yes,Yes,Yes,Yes,DSL,Yes,0
7495-OOKFY,Female,Yes,Yes,No,Yes,Fiber optic,Yes,1
4667-QONEA,Female,Yes,Yes,No,Yes,DSL,Yes,0
1658-BYGOY,Male,Yes,No,Yes,Yes,Fiber optic,Yes,1
8769-KKTPH,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
5067-XJQFU,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
3957-SQXML,Female,No,Yes,No internet service,Yes,No,No,0
5954-BDFSG,Female,No,No,Yes,Yes,Fiber optic,Yes,0
0434-CSFON,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
1215-FIGMP,Male,No,No,Yes,Yes,Fiber optic,Yes,0
0526-SXDJP,Male,No,Yes,No,No,DSL,No,0
0557-ASKVU,Female,No,Yes,No,Yes,DSL,Yes,0
5698-BQJOH,Female,No,No,Yes,Yes,Fiber optic,No,1
5122-CYFXA,Female,No,No,Yes,Yes,DSL,Yes,0
8627-ZYGSZ,Male,No,Yes,No,Yes,Fiber optic,Yes,0
3410-YOQBQ,Female,No,No,Yes,Yes,DSL,No,0
3170-NMYVV,Female,No,Yes,No internet service,Yes,No,No,0
7410-OIEDU,Male,No,No,No,Yes,Fiber optic,Yes,0
2273-QCKXA,Male,No,No,No,Yes,DSL,No,0
0731-EBJQB,Female,No,Yes,No internet service,Yes,No,Yes,0
1891-QRQSA,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
8028-PNXHQ,Male,No,Yes,No internet service,Yes,No,Yes,0
5630-AHZIL,Female,No,No,No,Yes,DSL,Yes,0
2673-CXQEU,Female,Yes,No,Yes,Yes,Fiber optic,No,0
6416-JNVRK,Female,No,No,No,Yes,DSL,No,0
5590-ZSKRV,Female,No,Yes,No,Yes,DSL,No,0
0191-ZHSKZ,Male,Yes,No,Yes,Yes,DSL,Yes,0
3887-PBQAO,Female,No,Yes,No internet service,Yes,No,Yes,0
5919-TMRGD,Female,No,No,Yes,Yes,Fiber optic,Yes,1
8108-UXRQN,Female,No,Yes,Yes,No,DSL,No,0
9191-MYQKX,Female,No,Yes,No,Yes,Fiber optic,Yes,1
9919-YLNNG,Female,No,No,Yes,Yes,Fiber optic,Yes,0
0318-ZOPWS,Female,No,Yes,No internet service,Yes,No,Yes,0
4445-ZJNMU,Male,No,No,Yes,Yes,Fiber optic,Yes,0
4808-YNLEU,Female,No,Yes,Yes,Yes,DSL,Yes,0
1862-QRWPE,Female,No,Yes,No internet service,Yes,No,No,0
2796-NNUFI,Female,No,Yes,No internet service,Yes,No,Yes,0
3016-KSVCP,Male,No,Yes,Yes,No,DSL,No,0
4767-HZZHQ,Male,No,Yes,No,Yes,Fiber optic,No,0
2424-WVHPL,Male,Yes,No,No,Yes,Fiber optic,No,0
7233-PAHHL,Male,No,Yes,Yes,Yes,DSL,Yes,0
6067-NGCEU,Female,No,No,Yes,Yes,Fiber optic,Yes,0
9848-JQJTX,Male,No,No,Yes,Yes,Fiber optic,Yes,0
8637-XJIVR,Female,No,No,No,Yes,Fiber optic,Yes,1
9803-FTJCG,Male,No,Yes,No,Yes,DSL,Yes,0
0278-YXOOG,Male,No,No,No internet service,Yes,No,No,1
3212-KXOCR,Male,No,No,No internet service,Yes,No,No,0
4598-XLKNJ,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,1
6380-ARCEH,Male,No,No,No internet service,Yes,No,No,0
3679-XASPY,Female,No,Yes,No internet service,Yes,No,No,0
7123-WQUHX,Male,No,No,Yes,Yes,Fiber optic,No,0
5386-THSLQ,Female,Yes,Yes,Yes,No,DSL,No,0
3192-NQECA,Male,No,Yes,Yes,Yes,Fiber optic,Yes,1
6180-YBIQI,Male,No,No,No,No,DSL,No,0
6728-DKUCO,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
9750-BOOHV,Female,No,No,No,No,DSL,No,0
8597-CWYHH,Male,No,No,Yes,Yes,Fiber optic,No,0
2848-YXSMW,Male,No,Yes,No internet service,Yes,No,No,0
0486-HECZI,Male,No,Yes,Yes,Yes,Fiber optic,Yes,1
4549-ZDQYY,Female,No,No,No,Yes,DSL,No,0
5712-AHQNN,Female,No,No,Yes,Yes,Fiber optic,Yes,0
4846-WHAFZ,Female,Yes,Yes,No,Yes,Fiber optic,Yes,1
5256-SKJGO,Female,No,Yes,Yes,No,DSL,Yes,0
3071-VBYPO,Male,No,Yes,Yes,Yes,Fiber optic,No,0
9560-BBZXK,Female,No,No,No,No,DSL,No,0
5299-RULOA,Female,No,Yes,Yes,Yes,Fiber optic,Yes,1
8402-OOOHJ,Female,No,No,No internet service,Yes,No,No,0
9445-ZUEQE,Male,No,Yes,No,Yes,Fiber optic,Yes,0
1091-SOZGA,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
2928-HLDBA,Female,No,No,No internet service,Yes,No,No,0
0404-SWRVG,Male,No,No,No,Yes,Fiber optic,Yes,1
6497-TILVL,Female,No,Yes,No,Yes,DSL,No,0
7219-TLZHO,Female,No,Yes,No internet service,Yes,No,No,0
4622-YNKIJ,Male,No,No,Yes,Yes,Fiber optic,Yes,0
4412-YLTKF,Female,Yes,No,No,Yes,Fiber optic,Yes,1
6734-PSBAW,Male,No,Yes,No internet service,Yes,No,Yes,0
3930-ZGWVE,Male,No,No,No internet service,Yes,No,No,0
2639-UGMAZ,Male,Yes,No,Yes,No,DSL,Yes,0
2876-GZYZC,Female,No,No,No,Yes,Fiber optic,Yes,0
6207-WIOLX,Female,No,Yes,Yes,No,DSL,Yes,1
8587-XYZSF,Male,No,No,No,Yes,DSL,No,0
3091-FYHKI,Male,No,No,No,No,DSL,Yes,1
2372-HWUHI,Male,No,No,No,Yes,DSL,No,1
7799-LGRDP,Female,No,No,No internet service,Yes,No,Yes,0
7850-VWJUU,Female,No,No,No,Yes,Fiber optic,Yes,0
3774-VBNXY,Female,No,Yes,No internet service,Yes,No,No,0
6217-KDYWC,Male,No,No,No internet service,Yes,No,Yes,0
0390-DCFDQ,Female,Yes,Yes,No,Yes,Fiber optic,Yes,1
3146-MSEGF,Female,Yes,Yes,Yes,Yes,DSL,Yes,0
4080-OGPJL,Female,No,No,No,Yes,DSL,No,1
1095-WGNGG,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
2636-SJDOU,Male,No,No,No,Yes,Fiber optic,Yes,0
1131-QQZEB,Male,Yes,Yes,No internet service,Yes,No,No,0
5716-EZXZN,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
6837-BJYDQ,Male,No,No,No internet service,Yes,No,No,0
2135-RXIHG,Male,No,No,No,Yes,DSL,Yes,1
6440-DKQGE,Male,No,No,Yes,Yes,DSL,No,0
3466-BYAVD,Male,No,Yes,No,Yes,DSL,Yes,0
3780-YVMFA,Female,No,Yes,Yes,Yes,DSL,Yes,0
3874-EQOEP,Male,No,No,Yes,Yes,Fiber optic,No,1
1679-JRFBR,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
9073-ZZIAY,Male,No,Yes,Yes,Yes,DSL,No,0
3077-RSNTJ,Female,No,Yes,No internet service,Yes,No,No,0
6551-GNYDG,Female,No,Yes,No,Yes,Fiber optic,Yes,0
9167-APMXZ,Female,No,No,Yes,Yes,Fiber optic,Yes,0
2749-CTKAJ,Male,No,Yes,No internet service,Yes,No,No,0
6371-NZYEG,Male,No,Yes,Yes,Yes,DSL,No,0
7554-NEWDD,Male,No,No,No internet service,Yes,No,No,0
8992-VONJD,Female,No,No,No,Yes,DSL,Yes,0
0867-MKZVY,Female,No,Yes,No,Yes,Fiber optic,No,1
4482-EWFMI,Female,No,No,No,Yes,Fiber optic,Yes,0
4648-YPBTM,Male,No,No,No,Yes,DSL,Yes,0
2907-ILJBN,Female,No,Yes,No internet service,Yes,No,No,0
6345-FZOQH,Male,No,Yes,No internet service,Yes,No,No,0
3376-BMGFE,Female,No,No,No,Yes,Fiber optic,Yes,1
5997-OPVFA,Male,No,Yes,Yes,Yes,DSL,Yes,0
3445-HXXGF,Male,Yes,Yes,No,No,DSL,Yes,1
1159-WFSGR,Female,No,Yes,No internet service,Yes,No,No,0
7654-YWJUF,Male,No,Yes,No,Yes,Fiber optic,Yes,0
1875-QIVME,Female,No,Yes,Yes,Yes,Fiber optic,Yes,1
6727-IOTLZ,Male,No,Yes,Yes,Yes,DSL,No,0
0691-JVSYA,Female,No,Yes,Yes,Yes,Fiber optic,Yes,1
5918-VUKWP,Female,No,No,No internet service,Yes,No,No,0
1744-JHKYS,Female,No,Yes,No internet service,Yes,No,No,0
2656-FMOKZ,Female,Yes,No,No,Yes,Fiber optic,Yes,1
2070-FNEXE,Female,Yes,No,No,Yes,Fiber optic,No,1
5947-SGKCL,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
3712-PKXZA,Male,No,Yes,No internet service,Yes,No,Yes,0
6317-YPKDH,Female,No,No,No,No,DSL,No,1
6582-OIVSP,Female,No,No,No,Yes,DSL,No,0
9367-WXLCH,Male,No,No,No,Yes,Fiber optic,No,1
5524-KHNJP,Male,No,Yes,Yes,Yes,DSL,No,0
1918-ZBFQJ,Female,No,No,No,Yes,Fiber optic,Yes,1
1024-GUALD,Female,No,Yes,No,No,DSL,Yes,1
4827-USJHP,Male,No,No,No,Yes,DSL,Yes,0
8167-GJLRN,Male,No,No,No,No,DSL,No,0
0956-SYCWG,Female,No,No,No internet service,Yes,No,No,0
8017-UVSZU,Female,No,Yes,No,Yes,DSL,No,0
7100-FQPRV,Male,No,Yes,No,Yes,DSL,Yes,0
2472-OVKUP,Male,No,Yes,No,Yes,Fiber optic,Yes,1
2984-RGEYA,Female,No,Yes,No internet service,Yes,No,No,0
9680-NIAUV,Female,No,Yes,Yes,Yes,Fiber optic,No,0
2146-EGVDT,Male,No,Yes,No internet service,Yes,No,No,0
2604-IJPDU,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
9178-JHUVJ,Male,No,Yes,No internet service,Yes,No,Yes,0
6168-YBYNP,Male,No,No,Yes,Yes,Fiber optic,Yes,0
7255-SSFBC,Male,No,Yes,Yes,Yes,Fiber optic,Yes,0
3645-DEYGF,Male,No,No,No internet service,Yes,No,No,0
9323-HGFWY,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
8544-GOQSH,Female,No,No,No,Yes,Fiber optic,Yes,0
3363-DTIVD,Male,No,Yes,Yes,Yes,Fiber optic,No,0
7018-WBJNK,Male,No,No,Yes,Yes,Fiber optic,Yes,0
9142-KZXOP,Male,No,No,No,Yes,Fiber optic,No,0
7674-YTAFD,Female,No,No,No,Yes,Fiber optic,Yes,0
6348-SNFUS,Male,No,Yes,No,No,DSL,Yes,0
1285-OKIPP,Male,No,No,No,Yes,Fiber optic,No,1
7825-ECJRF,Female,No,No,Yes,Yes,Fiber optic,Yes,1
1347-KTTTA,Male,No,Yes,Yes,Yes,Fiber optic,Yes,0
7841-TZDMQ,Male,No,No,No,Yes,DSL,Yes,1
4195-NZGTA,Female,No,No,No,No,DSL,No,0
7157-SMCFK,Male,No,No,No internet service,Yes,No,No,0
4709-LKHYG,Female,No,Yes,No internet service,Yes,No,No,0
2504-DSHIH,Male,Yes,Yes,No,Yes,Fiber optic,No,0
0699-NDKJM,Female,No,Yes,Yes,No,DSL,Yes,0
9286-BHDQG,Male,No,Yes,No,No,DSL,No,0
0230-WEQUW,Male,No,Yes,Yes,No,DSL,Yes,0
2040-LDIWQ,Male,No,Yes,Yes,Yes,DSL,Yes,0
6496-JDSSB,Female,No,No,Yes,Yes,Fiber optic,Yes,0
9408-SSNVZ,Female,No,No,No,Yes,Fiber optic,Yes,1
4443-EMBNA,Female,No,Yes,No internet service,Yes,No,No,0
6469-MRVET,Male,No,Yes,No internet service,Yes,No,Yes,0
0742-MOABM,Male,No,Yes,No,Yes,DSL,No,1
5961-VUSRV,Female,No,No,No internet service,Yes,No,Yes,0
6778-JFCMK,Male,No,No,Yes,No,DSL,Yes,0
6341-JVQGF,Female,No,Yes,Yes,Yes,DSL,Yes,0
2232-DMLXU,Female,No,Yes,Yes,Yes,DSL,No,1
4811-JBUVU,Male,No,No,No,Yes,Fiber optic,Yes,0
0945-TSONX,Female,No,Yes,Yes,Yes,DSL,Yes,0
2651-ZCBXV,Male,No,No,Yes,Yes,Fiber optic,Yes,0
3316-UWXUY,Male,No,No,No,Yes,Fiber optic,Yes,0
8937-RDTHP,Male,No,No,No,Yes,Fiber optic,Yes,1
7083-MIOPC,Female,No,No,No internet service,Yes,No,No,0
1984-GPTEH,Female,No,No,No internet service,Yes,No,No,0
1251-KRREG,Male,No,No,No,Yes,DSL,Yes,1
0621-JFHOL,Female,No,No,No,No,DSL,Yes,0
9903-LYSAB,Male,No,Yes,No,Yes,Fiber optic,Yes,0
0094-OIFMO,Female,Yes,No,Yes,Yes,Fiber optic,Yes,1
9227-UAQFT,Male,No,No,No internet service,Yes,No,No,0
7301-ABVAD,Female,No,No,Yes,Yes,DSL,No,0
6614-FHDBO,Male,No,No,Yes,Yes,Fiber optic,No,0
7576-ASEJU,Female,No,Yes,Yes,Yes,DSL,Yes,0
9058-HRZSV,Female,Yes,Yes,No,Yes,Fiber optic,No,0
4522-AKYLR,Female,Yes,No,No,Yes,DSL,Yes,0
0221-WMXNQ,Male,Yes,No,No,Yes,Fiber optic,No,0
0303-UNCIP,Male,No,No,No,Yes,DSL,No,0
9947-OTFQU,Male,Yes,No,No,Yes,Fiber optic,Yes,1
0322-YINQP,Male,No,No,No,Yes,DSL,Yes,1
0959-WHOKV,Male,No,No,No,Yes,Fiber optic,Yes,0
4075-JFPGR,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
4629-NRXKX,Female,No,Yes,No,Yes,Fiber optic,No,1
9514-JDSKI,Male,Yes,Yes,Yes,No,DSL,No,1
3282-ZISZV,Male,No,No,Yes,Yes,DSL,No,0
3675-YDUPJ,Male,No,No,No internet service,Yes,No,Yes,0
4111-BNXIF,Female,No,Yes,Yes,No,DSL,Yes,0
7017-VFHAY,Female,No,Yes,Yes,Yes,Fiber optic,No,0
6655-LHBYW,Male,No,No,Yes,Yes,Fiber optic,No,0
4959-JOSRX,Female,No,Yes,No,Yes,DSL,Yes,1
5046-NUHWD,Female,Yes,Yes,No,No,DSL,Yes,0
7273-TEFQD,Male,Yes,No,No,No,DSL,Yes,1
3606-TWKGI,Male,Yes,No,Yes,Yes,Fiber optic,Yes,1
7529-ZDFXI,Male,Yes,Yes,No,Yes,Fiber optic,Yes,0
7605-BDWDC,Female,No,No,No,No,DSL,Yes,0
1950-KSVVJ,Female,No,Yes,Yes,Yes,Fiber optic,No,0
0123-CRBRT,Female,No,Yes,Yes,Yes,DSL,No,0
6292-TOSSS,Male,No,No,No internet service,Yes,No,No,0
3197-ARFOY,Female,Yes,No,Yes,Yes,Fiber optic,Yes,0
6323-AYBRX,Male,No,No,No internet service,Yes,No,No,1
7014-ZZXAW,Female,No,Yes,No internet service,Yes,No,Yes,0
4385-GZQXV,Female,Yes,No,Yes,Yes,Fiber optic,Yes,1
7633-MVPUY,Male,No,Yes,No,Yes,DSL,Yes,0
6366-ZGQGL,Male,No,No,No,No,DSL,No,1
4716-HHKQH,Male,Yes,Yes,Yes,Yes,Fiber optic,No,0
5940-AHUHD,Male,No,No,No,Yes,Fiber optic,No,1
6432-TWQLB,Male,No,Yes,No,Yes,Fiber optic,Yes,1
4484-GLZOU,Female,No,Yes,Yes,Yes,Fiber optic,Yes,1
3179-GBRWV,Male,Yes,Yes,No,Yes,DSL,Yes,0
8645-KWHJO,Male,No,No,Yes,No,DSL,Yes,0
4130-MZLCC,Female,No,No,No,Yes,DSL,No,0
0314-TKOSI,Female,No,No,No,Yes,DSL,No,0
8229-MYEJZ,Female,No,No,No,Yes,DSL,No,0
2080-SRCDE,Female,No,No,No internet service,Yes,No,No,0
9577-WJVCQ,Female,No,No,No,Yes,DSL,No,0
9512-UIBFX,Male,No,Yes,Yes,Yes,Fiber optic,No,1
6202-DYYFX,Female,No,No,No,Yes,Fiber optic,Yes,0
3808-HFKDE,Female,No,No,No,Yes,DSL,Yes,0
5583-SXDAG,Male,No,Yes,No,Yes,Fiber optic,No,1
3488-PGMQJ,Male,Yes,No,No,Yes,Fiber optic,Yes,1
3580-REOAC,Male,No,No,No,Yes,DSL,Yes,1
7534-BFESC,Male,Yes,No,No,Yes,Fiber optic,Yes,1
3727-OWVYD,Male,No,No,No,Yes,DSL,No,0
2294-SALNE,Male,No,Yes,No,Yes,Fiber optic,No,0
4847-TAJYI,Female,Yes,No,Yes,Yes,Fiber optic,Yes,0
1563-IWQEX,Female,No,No,No internet service,Yes,No,No,0
8203-XJZRC,Male,No,No,No internet service,Yes,No,No,0
6556-DBKZF,Female,No,Yes,No,Yes,Fiber optic,No,0
6851-WEFYX,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
2985-JUUBZ,Male,No,Yes,Yes,Yes,DSL,Yes,0
6390-DSAZX,Female,No,No,No,Yes,Fiber optic,Yes,1
0895-LMRSF,Male,No,No,Yes,Yes,DSL,Yes,0
8098-LLAZX,Female,Yes,No,Yes,Yes,Fiber optic,Yes,1
8266-VBFQL,Male,No,No,No,Yes,Fiber optic,Yes,0
8181-YHCMF,Female,No,Yes,Yes,No,DSL,No,0
2240-HSJQD,Male,No,No,No,Yes,Fiber optic,Yes,0
1248-DYXUB,Male,No,Yes,No internet service,Yes,No,No,0
0265-EDXBD,Male,Yes,Yes,No,Yes,Fiber optic,Yes,1
4115-BNPJY,Male,No,Yes,Yes,Yes,DSL,No,0
3167-SNQPL,Male,Yes,Yes,Yes,Yes,Fiber optic,No,0
4091-TVOCN,Male,No,No,Yes,Yes,DSL,Yes,0
1098-TDVUQ,Female,No,No,No internet service,Yes,No,Yes,0
7277-OZCGZ,Female,No,No,No,Yes,Fiber optic,Yes,0
1557-EMYVT,Female,No,No,Yes,Yes,Fiber optic,No,0
2799-ARNLO,Female,Yes,Yes,No,Yes,Fiber optic,Yes,0
7563-BIUPC,Male,No,No,Yes,Yes,Fiber optic,Yes,1
5027-YOCXN,Male,No,Yes,Yes,Yes,Fiber optic,No,0
3973-SKMLN,Male,No,No,No internet service,Yes,No,Yes,0
2321-OMBXY,Female,No,Yes,Yes,Yes,DSL,No,1
2840-XANRC,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,1
6745-JEFZB,Male,No,Yes,Yes,Yes,Fiber optic,Yes,0
5020-ZSTTY,Female,Yes,No,Yes,Yes,DSL,No,1
9880-TDQAC,Female,No,Yes,Yes,No,DSL,Yes,0
8705-WZCYL,Male,No,No,No,Yes,DSL,Yes,0
7102-JJVTX,Female,No,Yes,No,Yes,DSL,No,0
8626-PTQGE,Male,No,No,Yes,No,DSL,Yes,0
4983-CLMLV,Female,No,Yes,Yes,Yes,Fiber optic,Yes,0
5701-YVSVF,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
5804-LEPIM,Female,Yes,No,No,Yes,Fiber optic,Yes,1
5697-GOMBF,Female,Yes,Yes,Yes,No,DSL,Yes,0
2739-CACDQ,Female,Yes,No,No,Yes,Fiber optic,Yes,0
9385-EHGDO,Female,No,Yes,No internet service,Yes,No,Yes,0
9498-FIMXL,Female,No,No,No internet service,Yes,No,Yes,0
2379-GYFLQ,Male,No,No,Yes,Yes,Fiber optic,Yes,0
0122-OAHPZ,Female,No,No,No,Yes,Fiber optic,Yes,1
2868-SNELZ,Female,No,No,No,Yes,Fiber optic,No,1
4322-RCYMT,Male,No,Yes,No,Yes,DSL,Yes,1
6680-NENYN,Female,No,No,Yes,Yes,Fiber optic,Yes,1
2088-IEBAU,Female,No,No,Yes,Yes,DSL,Yes,0
7982-VCELR,Female,No,No,Yes,Yes,Fiber optic,Yes,0
1343-EHPYB,Male,No,Yes,Yes,Yes,Fiber optic,Yes,1
6035-BXTTY,Female,Yes,No,No,Yes,DSL,No,0
6885-PKOAM,Female,No,Yes,Yes,Yes,DSL,No,0
7520-HQWJU,Female,No,Yes,No,Yes,DSL,Yes,0
9639-BUJXT,Male,No,No,No internet service,Yes,No,No,0
5924-SNGKP,Female,No,No,No internet service,Yes,No,Yes,0
0021-IKXGC,Female,Yes,No,No,Yes,Fiber optic,Yes,0
2034-GDRCN,Female,No,No,Yes,Yes,Fiber optic,Yes,1
8966-SNIZF,Female,No,Yes,No internet service,Yes,No,No,0
6243-OZGFH,Female,No,No,Yes,No,DSL,Yes,0
4654-DLAMQ,Female,Yes,Yes,No,Yes,Fiber optic,No,0
0513-RBGPE,Male,No,Yes,No,Yes,DSL,Yes,0
5160-UXJED,Male,No,No,No,Yes,DSL,No,0
4115-NZRKS,Female,Yes,No,Yes,Yes,Fiber optic,Yes,0
0219-YTZUE,Male,No,Yes,No,Yes,Fiber optic,Yes,1
0623-IIHUG,Female,Yes,No,Yes,No,DSL,Yes,1
4572-DVCGN,Female,No,No,No,Yes,Fiber optic,Yes,1
3351-NGXYI,Female,Yes,No,No,Yes,DSL,Yes,0
8984-EYLLL,Male,No,Yes,Yes,Yes,Fiber optic,Yes,0
9057-MSWCO,Male,Yes,Yes,No,No,DSL,No,1
9833-TGFHX,Male,No,Yes,Yes,Yes,Fiber optic,No,0
9294-TDIPC,Male,No,No,No internet service,Yes,No,No,0
5229-DTFYB,Female,No,No,Yes,Yes,Fiber optic,Yes,0
0104-PPXDV,Male,No,Yes,No,Yes,DSL,No,0
5176-LMJXE,Female,No,No,No internet service,Yes,No,Yes,0
3583-KRKMD,Male,No,No,No,Yes,Fiber optic,Yes,0
1010-DIAUQ,Male,No,No,Yes,Yes,Fiber optic,No,1
9069-LGEUL,Male,No,Yes,No,Yes,DSL,Yes,0
7302-ZHMHP,Female,No,No,No internet service,Yes,No,No,0
9571-EDEBV,Male,No,Yes,Yes,Yes,Fiber optic,Yes,0
3520-FJGCV,Male,No,Yes,Yes,Yes,Fiber optic,Yes,0
6563-VRERX,Male,No,Yes,No internet service,Yes,No,No,0
0259-GBZSH,Male,No,No,Yes,Yes,Fiber optic,Yes,1
6122-EFVKN,Male,No,No,No,No,DSL,No,0
2805-EDJPQ,Female,No,Yes,No,Yes,Fiber optic,Yes,0
6862-CQUMB,Male,No,No,Yes,Yes,Fiber optic,Yes,0
7156-MXBJE,Female,No,No,Yes,Yes,DSL,No,0
6158-HDPXZ,Male,No,No,No,No,DSL,No,0
9601-BRXPO,Female,No,Yes,Yes,Yes,Fiber optic,Yes,1
2863-IMQDR,Female,No,No,Yes,Yes,DSL,No,0
5686-CMAWK,Male,No,No,No,Yes,Fiber optic,No,0
5651-CRHKQ,Female,No,Yes,No,Yes,Fiber optic,Yes,0
6905-NIQIN,Male,No,No,No,Yes,DSL,No,1
8204-YJCLA,Male,Yes,Yes,Yes,No,DSL,Yes,0
5167-ZFFMM,Male,No,No,No,Yes,Fiber optic,Yes,1
6583-SZVGP,Male,No,No,Yes,Yes,Fiber optic,Yes,0
4895-TMWIR,Male,Yes,Yes,No internet service,Yes,No,No,1
0533-BNWKF,Female,Yes,Yes,No,Yes,Fiber optic,Yes,1
1708-PBBOA,Female,No,No,No,No,DSL,Yes,0
8782-LKFPK,Male,No,No,No,Yes,Fiber optic,Yes,0
5522-JBWMO,Male,No,No,No,Yes,DSL,No,0
3597-MVHJT,Female,No,No,Yes,Yes,Fiber optic,Yes,0
9774-NRNAU,Male,Yes,Yes,Yes,Yes,DSL,Yes,0
0224-RLWWD,Female,Yes,No,No,Yes,DSL,Yes,0
9967-ATRFS,Female,No,No,No internet service,Yes,No,No,0
3951-NJCVI,Female,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
2977-CEBSX,Female,No,No,Yes,Yes,DSL,Yes,0
0177-PXBAT,Male,Yes,Yes,Yes,Yes,Fiber optic,Yes,0
6599-CEBNN,Female,No,No,No,Yes,Fiber optic,Yes,1
2519-ERQOJ,Male,Yes,No,Yes,No,DSL,Yes,0
5876-QMYLD,Female,No,Yes,No internet service,Yes,No,No,0
2277-AXSDC,Female,No,No,No internet service,Yes,No,No,0
